Bill to,TECH PROFUSE PRIVATE LIMITED
Invoice number,4444723585
Invoice date,31 Aug 2022
Due Date,30 Oct 2022
Billing ID,9907-5574-3959
Currency,INR
Invoice amount,"2,577,631.94"

Account,techprofuse.com
Domain name,Subscription,Description,Order name,Start date,End date,Quantity,PO number,Amount
18technologies.co.in,Google Workspace Business Standard,Usage,3354507138-18,1 Aug,9 Aug,1,20211099,156.08
18technologies.co.in,Google Workspace Business Standard,Usage,3354507138-20,10 Aug,31 Aug,1,20211099,381.52
1sql.in,Google Workspace Business Plus,Usage,3612057563-06,1 Aug,31 Aug,1,20220511,"1,008.00"
365kpo.com,Google Workspace Business Starter,Commitment,3027718112-06,1 Aug,31 Aug,3,20210223,299.88
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,1 Aug,1 Aug,128,,649.79
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,2 Aug,3 Aug,127,,"1,288.73"
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,4 Aug,4 Aug,129,,655.21
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,5 Aug,7 Aug,130,,"1,981.86"
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,8 Aug,8 Aug,131,,666.04
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,9 Aug,9 Aug,130,,660.63
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,10 Aug,10 Aug,129,,655.21
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,11 Aug,12 Aug,128,,"1,299.56"
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,13 Aug,14 Aug,127,,"1,288.73"
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,15 Aug,15 Aug,128,,649.79
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,16 Aug,21 Aug,129,,"3,931.21"
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,22 Aug,24 Aug,135,,"2,063.15"
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,23 Aug,23 Aug,134,,0.00
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,25 Aug,25 Aug,134,,682.31
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,26 Aug,26 Aug,135,,687.73
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,27 Aug,29 Aug,134,,"2,046.90"
3bstaffing.com,Google Workspace Business Starter,Usage,3317323882-06,30 Aug,31 Aug,133,,"1,353.76"
3bstaffing.com,Google Workspace Business Standard,Usage,4244740004-02,9 Aug,11 Aug,1,,65.04
3bstaffing.com,Google Workspace Business Standard,Usage,4244740004-02,12 Aug,31 Aug,2,,867.10
5yp.in,Google Workspace Business Starter,Usage,3832651734-02,1 Aug,31 Aug,1,,99.96
7horsefoods.com,Google Workspace Business Starter,Commitment,3437144016-07,1 Aug,31 Aug,1,20220006,99.96
7sistersholidays.net,Google Workspace Business Starter,Usage,3688165882-03,1 Aug,31 Aug,1,20220689,99.96
9ghoc.com,Google Workspace Business Starter,Usage,3424919051-07,1 Aug,31 Aug,1,20211316,99.96
aadharenterprises.co.in,Google Workspace Business Starter,Usage,3574580912-05,1 Aug,31 Aug,1,20220438,99.96
aadhiklogistics.com,Google Workspace Business Starter,Commitment,3345102731-07,1 Aug,31 Aug,2,,199.92
aamangeniushealthcare.co.in,Google Workspace Business Starter,Commitment,3530173062-02,1 Aug,31 Aug,1,20220293,99.96
aandycompany.com,Google Workspace Business Starter,Usage,3580518069-02,1 Aug,31 Aug,9,20220453,899.64
aapkatravelsathi.com,Google Workspace Business Standard,Usage,4297508024-02,19 Aug,19 Aug,1,20221374,0.00
aapkatravelsathi.com,Google Workspace Business Starter,Usage,4297591423-02,19 Aug,31 Aug,1,20221374,41.91
aaravgroup.in,Google Workspace Business Starter,Commitment,3423187978-03,1 Aug,31 Aug,1,,99.96
aartichawla.in,Google Workspace Business Starter,Usage,3779843540-06,1 Aug,31 Aug,1,20220854,99.96
aarvex.com,Google Workspace Business Starter,Usage,2720842004-10,1 Aug,4 Aug,14,2021362,303.48
aarvex.com,Google Workspace Business Starter,Usage,4265334370-02,13 Aug,31 Aug,14,,857.73
aashaenterprises.in,Google Workspace Business Starter,Usage,3107733615-02,1 Aug,31 Aug,5,,499.80
aashospital.com,Google Workspace Business Starter,Commitment,3425198836-07,1 Aug,31 Aug,5,20220757,499.80
aashtimeindia.com,Google Workspace Business Starter,Usage,3675957155-06,1 Aug,31 Aug,1,20220660,99.96
aasthakalra.in,Google Workspace Business Starter,Usage,3835283206-06,1 Aug,31 Aug,1,20220950,99.96
aasurgicals.com,Google Workspace Business Starter,Commitment,3315733541-03,1 Aug,31 Aug,2,20220803,199.92
aayuconsultants.com,Google Workspace Business Starter,Usage,2859506108-02,1 Aug,4 Aug,4,2020171,86.71
aayuconsultants.com,Google Workspace Business Starter,Usage,2859506108-02,5 Aug,5 Aug,5,2020171,0.00
abhaypearls.com,Google Workspace Business Starter,Commitment,3416010314-07,1 Aug,31 Aug,1,20211288,99.96
abhipe.com,Google Workspace Business Starter,Commitment,3231604665-07,1 Aug,31 Aug,1,20210753,99.96
abintiobiosciences.com,Google Workspace Business Starter,Commitment,3478348327-02,1 Aug,31 Aug,1,20220133,99.96
abravic.com,Google Workspace Business Starter,Commitment,3949072212-08,1 Aug,31 Aug,1,20221089,99.96
abrengineering.com,Google Workspace Business Starter,Commitment,3308240879-02,1 Aug,31 Aug,3,20210948,299.88
absolutegrowth.in,Google Workspace Business Starter,Usage,4082255935-06,17 Aug,31 Aug,7,20221198,338.58
aburayan.me,Google Workspace Business Starter,Usage,3500557065-03,1 Aug,31 Aug,1,20220188,99.96
accare.co.in,Google Workspace Business Starter,Usage,3646043681-06,1 Aug,31 Aug,1,20220599,99.96
accesstolife.com.au,Google Workspace Business Starter,Usage,4048611072-06,7 Aug,31 Aug,1,20221162,80.61
accounteamsolutions.com,Google Workspace Business Starter,Commitment,3197867718-04,1 Aug,31 Aug,1,20210657,99.96
accountsenrichment.com,Google Workspace Business Starter,Commitment,3220623130-07,1 Aug,31 Aug,2,20210715,199.92
accovet.com,Google Workspace Business Starter,Usage,3113002423-02,1 Aug,31 Aug,30,,"3,679.20"
accrescentglobal.co.in,Google Workspace Business Starter,Usage,3566996926-02,1 Aug,31 Aug,3,20220408,299.88
accrescentglobal.com,Google Workspace Business Starter,Commitment,3198580655-07,1 Aug,31 Aug,4,20210671,399.84
acem.co.in,Google Workspace Business Plus,Usage,4048738937-06,8 Aug,31 Aug,1,20221164,780.39
acetamritsar.org,Google Workspace Business Starter,Usage,4259331741-02,11 Aug,31 Aug,19,20221326,"1,286.58"
acharyainstitute.co.in,Google Workspace Business Starter,Commitment,3030856928-06,1 Aug,10 Aug,1,20210253,32.25
acharyainstitute.co.in,Google Workspace Business Starter,Commitment decrease,3030856928-09,11 Aug,11 Aug,1,2020232,0.00
aconme.com,Google Workspace Business Starter,Usage,3663178280-03,1 Aug,31 Aug,1,20220630,99.96
acpeople.com,Google Workspace Business Starter,Usage,3619074002-02,1 Aug,31 Aug,4,,399.84
acsl.org.in,Google Workspace Business Starter,Commitment,3449974109-07,1 Aug,31 Aug,2,20220064,199.92
activcarb.com,Google Workspace Business Starter,Commitment,3537839823-03,1 Aug,31 Aug,20,,"1,999.20"
actlindia.com,Google Workspace Business Starter,Commitment,3146615347-02,1 Aug,31 Aug,60,20210479,"8,064.00"
acurela.in,Google Workspace Business Starter,Commitment,3419791189-12,1 Aug,31 Aug,14,20221205,"1,399.44"
acurela.in,Google Workspace Business Starter,Commitment increase,3419791189-13,28 Aug,31 Aug,1,253625,12.90
adaction.in,Google Workspace Business Starter,Usage,3846018083-06,1 Aug,31 Aug,1,20220963,99.96
adamsexim.com,Google Workspace Business Starter,Usage,3645735189-03,1 Aug,31 Aug,16,20220593,"1,599.36"
addamoving.com,Google Workspace Business Starter,Commitment,3016687436-06,1 Aug,29 Aug,1,20210204,93.51
addamoving.com,Google Workspace Business Starter,Commitment decrease,3016687436-09,30 Aug,30 Aug,1,20210204,0.00
addon-it.com,Google Workspace Business Starter,Commitment,2980922174-06,1 Aug,14 Aug,1,20210086,45.14
addon-it.com,Google Workspace Business Starter,Commitment decrease,2980922174-09,15 Aug,15 Aug,1,20210086,0.00
adenwalafort.com,Google Workspace Business Starter,Usage,3794810885-03,1 Aug,31 Aug,7,20220879,699.72
adeshajay.in.net,Google Workspace Business Starter,Usage,3909708691-06,1 Aug,22 Aug,10,,709.39
adigasyatra.com,Google Workspace Business Starter,Commitment,3321918338-06,1 Aug,31 Aug,10,20211009,999.60
adiraa.in,Google Workspace Business Starter,Usage,3646747060-06,1 Aug,31 Aug,3,20220604,299.88
adityacc.com,Google Workspace Business Starter,New commitment,4199987337-04,17 Aug,31 Aug,60,,"2,926.45"
adivpurenature.com,Google Workspace Business Starter,Usage,2638979243-04,1 Aug,4 Aug,5,2021272,108.38
adivpurenature.com,Google Workspace Business Starter,Usage,2638979243-04,5 Aug,5 Aug,6,2021272,0.00
adjukines.com,Google Workspace Business Starter,Commitment,3163718301-02,1 Aug,31 Aug,3,20210585,299.88
adonicollege.com,Google Workspace for Education: Teaching and Learning Upgrade,Commitment,3615009826-05,1 Aug,31 Aug,1,2021592,120.00
adslay.com,Google Workspace Business Starter,Usage,3529906562-02,1 Aug,31 Aug,1,,99.96
advaitic.ai,Google Workspace Business Starter,Commitment,3024880777-03,1 Aug,9 Aug,2,20210233,58.05
advaitic.ai,Google Workspace Business Starter,Commitment decrease,3024880777-06,10 Aug,10 Aug,1,202036,0.00
advancecable.co.in,Google Workspace Business Starter,Usage,3678166770-02,1 Aug,31 Aug,26,20220663,"3,007.20"
advancecabletech.com,Google Workspace Business Starter,Usage,3928177891-07,1 Aug,2 Aug,36,20221073,302.41
advancecabletech.com,Google Workspace Business Starter,Usage,3928177891-07,3 Aug,31 Aug,37,20221073,"4,541.96"
advaspices.com,Google Workspace Business Starter,Commitment,3447839231-03,1 Aug,31 Aug,1,,99.96
adview.net.in,Google Workspace Business Starter,Commitment,3249247553-13,1 Aug,31 Aug,5,20220874,499.80
advisible.ae,Google Workspace Business Starter,Usage,3775417455-06,1 Aug,7 Aug,8,20220848,180.57
advisible.ae,Google Workspace Business Starter,Usage,3775417455-06,8 Aug,20 Aug,9,20220848,377.27
advisible.ae,Google Workspace Business Starter,Usage,3775417455-06,21 Aug,31 Aug,10,20220848,354.70
advisible.in,Google Workspace Business Starter,Usage,3440004254-02,1 Aug,31 Aug,9,,899.64
advisiblemedia.in,Google Workspace Business Starter,Commitment,3231867260-07,1 Aug,31 Aug,1,20210758,99.96
aelumconsulting.com,Google Workspace Business Starter,Usage,3505295509-02,1 Aug,6 Aug,170,20220200,"5,264.37"
